OCV,OCV0,OCVrel,SOC,SOC0,SOCrel,temps,QParam,etaParam,GParam,MParam,M0Param,R0Param,RCParam,RParam
3.5,2.38161512,-0.74141134,1,0,0,-25,25,1,10,0.09,0.005,0.01,1.5,0.005
,2.427319588,-0.694994401,,0.001507538,0.008032129,-15,25,1,90,0.06,0.001,0.008,1.3,0.002
,2.473024055,-0.653463457,,0.003015075,0.008032129,-5,25,1,100,0.04,0.001,0.005,1.2,0.001
,2.525257732,-0.607046519,,0.004522613,0.009036145,5,25,1,90,0.02,0.005,0.004,2.2,0.001
,2.577491409,-0.543528603,,0.006030151,0.008032129,15,25,1,60,0.025,0.004,0.003,3.4,0.0008
,2.621563574,-0.497111665,,0.007035176,0.009036145,25,25,1,170,0.02,0.003,0.002,3.5,0.0005
,2.665635739,-0.431150753,,0.008040201,0.010040161,45,25,1,190,0.01,0.002,0.001,3.4,0.0003
,2.717869416,-0.362746844,,0.010050252,0.026104418,,,,,,,,,
,2.770103093,-0.318772903,,0.012060302,0.036144578,,,,,,,,,
,2.82233677,-0.311443913,,0.01758794,0.050200803,,,,,,,,,
,2.874570447,-0.289456942,,0.023115578,0.059236948,,,,,,,,,
,2.90395189,-0.260140981,,0.026633166,0.080321285,,,,,,,,,
,2.933333333,-0.245483001,,0.030150754,0.095381526,,,,,,,,,
,2.969243986,-0.20883805,,0.03517588,0.101405623,,,,,,,,,
,3.005154639,-0.137991144,,0.040201005,0.109437751,,,,,,,,,
,3.036168385,-0.072030232,,0.048241206,0.114457831,,,,,,,,,
,3.067182131,-0.00606932,,0.056281407,0.119477912,,,,,,,,,
,3.094931272,-0.001183327,,0.063819096,0.130522088,,,,,,,,,
,3.122680412,-0.025613294,,0.071356784,0.142570281,,,,,,,,,
,3.150429553,-0.052486258,,0.083417086,0.156626506,,,,,,,,,
,3.178178694,-0.074473229,,0.095477387,0.170682731,,,,,,,,,
,3.191237114,-0.091574206,,0.109045226,0.189759036,,,,,,,,,
,3.204295533,-0.091574206,,0.122613065,0.208835341,,,,,,,,,
,3.214089348,-0.089131209,,0.144221106,0.223895582,,,,,,,,,
,3.223883162,-0.079359222,,0.165829146,0.230923695,,,,,,,,,
,3.238573884,-0.089131209,,0.187437186,0.237951807,,,,,,,,,
,3.253264605,-0.059815248,,0.209045226,0.258032129,,,,,,,,,
,3.26305842,-0.045157268,,0.229145729,0.269076305,,,,,,,,,
,3.272852234,-0.054929255,,0.249246231,0.27811245,,,,,,,,,
,3.277749141,-0.050043261,,0.268341709,0.289156627,,,,,,,,,
,3.282646048,-0.057372252,,0.287437186,0.300200803,,,,,,,,,
,3.287542956,-0.047600265,,0.310050252,0.31626506,,,,,,,,,
,3.292439863,-0.001183327,,0.332663317,0.328313253,,,,,,,,,
,3.292439863,0.076992569,,0.355276382,0.342369478,,,,,,,,,
,3.292439863,0.128295501,,0.377889447,0.350401606,,,,,,,,,
,3.292439863,0.182041429,,0.394974875,0.360441767,,,,,,,,,
,3.292439863,0.19669941,,0.412060302,0.378514056,,,,,,,,,
,3.295704468,0.2040284,,0.43517588,0.393574297,,,,,,,,,
,3.298969072,0.19669941,,0.458291457,0.41064257,,,,,,,,,
,3.298969072,0.19669941,,0.476884422,0.427710843,,,,,,,,,
,3.298969072,0.201585403,,0.495477387,0.4437751,,,,,,,,,
,3.302233677,0.201585403,,0.517085427,0.468875502,,,,,,,,,
,3.305498282,0.19669941,,0.538693467,0.483935743,,,,,,,,,
,3.307130585,0.189370419,,0.55879397,0.5,,,,,,,,,
,3.308762887,0.182041429,,0.578894472,0.515060241,,,,,,,,,
,3.308762887,0.172269442,,0.603015075,0.540160643,,,,,,,,,
,3.308762887,0.174712439,,0.627135678,0.5562249,,,,,,,,,
,3.312027492,0.162497455,,0.649748744,0.580321285,,,,,,,,,
,3.315292096,0.147839475,,0.672361809,0.600401606,,,,,,,,,
,3.318556701,0.142953481,,0.691959799,0.626506024,,,,,,,,,
,3.321821306,0.142953481,,0.711557789,0.644578313,,,,,,,,,
,3.325085911,0.142953481,,0.732160804,0.666666667,,,,,,,,,
,3.328350515,0.145396478,,0.752763819,0.692771084,,,,,,,,,
,3.333247423,0.177155436,,0.778894473,0.71184739,,,,,,,,,
,3.33814433,0.216243384,,0.805025126,0.728915663,,,,,,,,,
,3.336512028,0.255331331,,0.822613066,0.741967872,,,,,,,,,
,3.334879725,0.277318302,,0.840201005,0.759036145,,,,,,,,,
,3.33814433,0.265103318,,0.863819096,0.77811245,,,,,,,,,
,3.341408935,0.238230354,,0.887437186,0.795180723,,,,,,,,,
,3.343041238,0.216243384,,0.910050252,0.815261044,,,,,,,,,
,3.34467354,0.206471397,,0.932663317,0.84437751,,,,,,,,,
,3.349570447,0.206471397,,0.946231156,0.869477912,,,,,,,,,
,3.354467354,0.216243384,,0.959798995,0.891566265,,,,,,,,,
,3.364261169,0.223572374,,0.968341709,0.906626506,,,,,,,,,
,3.374054983,0.228458367,,0.976884422,0.923694779,,,,,,,,,
,3.393642612,0.226015371,,0.98040201,0.93373494,,,,,,,,,
,3.413230241,0.240673351,,0.983919598,0.951807229,,,,,,,,,
,3.437714777,0.262660322,,0.987437186,0.967871486,,,,,,,,,
,3.462199313,0.31640625,,0.990954774,0.980923695,,,,,,,,,
,3.491580756,0.370152178,,0.993467337,0.988955823,,,,,,,,,
,3.520962199,0.30907726,,0.9959799,0.991967872,,,,,,,,,
,3.553608248,0.238230354,,0.99798995,0.992971888,,,,,,,,,
,3.586254296,0.160054458,,0.99998995,0.993975904,,,,,,,,,
,3.586254296,0.076992569,,1,1,,,,,,,,,
